First ID,First.SampleID,Loci typed,Second ID,Second.SampleID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL_12022L1733,APCL12_022,265,APCL_13018L0465,APCL13_018,263,242,21,0.00E+00,0.00E+00,Fuzzy match
APCL_13005L0455,APCL13_005,197,APCL_13461L1676,APCL13_461,265,177,20,0.00E+00,0.00E+00,Fuzzy match
APCL_13027L0485,APCL13_027,263,APCL_14017L0893,APCL14_017,265,242,21,0.00E+00,0.00E+00,Fuzzy match
APCL_13048L0881,APCL13_048,250,APCL_13050L1597,APCL13_050,262,229,18,0.00E+00,0.00E+00,Fuzzy match
APCL_13048L1596,APCL13_048,265,APCL_14303L0595,APCL14_303,244,219,25,0.00E+00,0.00E+00,Fuzzy match
APCL_13050L1033,APCL13_050,233,APCL_13051L1598,APCL13_051,265,209,24,0.00E+00,0.00E+00,Fuzzy match
APCL_13054L1037,APCL13_054,211,APCL_13055L1602,APCL13_055,265,191,20,0.00E+00,0.00E+00,Fuzzy match
APCL_13055L1038,APCL13_055,240,APCL_13056L1603,APCL13_056,265,217,23,0.00E+00,0.00E+00,Fuzzy match
APCL_13057L1040,APCL13_057,256,APCL_13057L1718,APCL13_057,265,229,27,0.00E+00,0.00E+00,Fuzzy match
APCL_13058L1041,APCL13_058,155,APCL_13059L1606,APCL13_059,260,124,26,0.00E+00,0.00E+00,Fuzzy match
APCL_13071L1052,APCL13_071,235,APCL_13075L1646,APCL13_075,265,211,24,0.00E+00,0.00E+00,Fuzzy match
APCL_13072L1053,APCL13_072,226,APCL_13080L1613,APCL13_080,265,200,26,0.00E+00,0.00E+00,Fuzzy match
APCL_13072L1053,APCL13_072,226,APCL_13098L1069,APCL13_098,117,82,27,0.00E+00,0.00E+00,Fuzzy match
APCL_13077L1056,APCL13_077,222,APCL_13078L1649,APCL13_078,261,191,27,0.00E+00,0.00E+00,Fuzzy match
APCL_13079L1058,APCL13_079,227,APCL_13357L1651,APCL13_357,265,206,21,0.00E+00,0.00E+00,Fuzzy match
APCL_13080L1059,APCL13_080,242,APCL_13083L1614,APCL13_083,259,210,26,0.00E+00,0.00E+00,Fuzzy match
APCL_13082L1060,APCL13_082,243,APCL_13082L1688,APCL13_082,232,192,22,0.00E+00,0.00E+00,Fuzzy match
APCL_13085L1063,APCL13_085,226,APCL_13086L1654,APCL13_086,264,202,24,0.00E+00,0.00E+00,Fuzzy match
APCL_13087L0423,APCL13_087,265,APCL_13087L1719,APCL13_087,265,245,20,0.00E+00,0.00E+00,Fuzzy match
