,Second.SampleID,First.SampleID,2.site,1.site,MATCH,First.ID,1_dig,1_Lig,Loci.typed,Second.ID,2_dig,2_lig,Loci.typed.1,Matching.loci,Mismatching.loci,pID,pIDsib,Status,First.year,Second.year,First.Lat,First.Lon,First.Anem_ID,First.Date,First.Size,First.Tail_color,First.Age,First.Notes,Second.Lat,Second.Lon,Second.Anem_ID,Second.Date,Second.Size,Second.Tail_color,Second.Age,Second.Notes,distkm,Mismatch.prop,col
6,APCL14_126,APCL14_126,,,MATCH_regenotyped,APCL_14126L1321,,,250,APCL_14126L1701,,,265,242,8,0,0,Fuzzy match,2014,2014,NA,NA,450,6/16/14,8.1,O,A,NA,NA,NA,450,6/16/14,8.1,O,A,NA,NA,0.033057851,green
14,APCL13_333,APCL13_333,,,MATCH_regenotyped,APCL_13333L0357,,,265,APCL_13333L1721,,,265,253,12,0,0,Fuzzy match,2013,2013,10.8553445,124.7268745,195,5/29/13,6.9,YP,A,NA,10.8553445,124.7268745,195,5/29/13,6.9,YP,A,NA,0,0.04743083,green
21,APCL13_565,APCL13_565,,,MATCH_regenotyped,APCL_13565L0670,,,265,APCL_13565L1735,,,265,252,13,0,0,Fuzzy match,2013,2013,10.633602,124.7767905,311,6/3/13,9.6,YP,A,NA,10.633602,124.7767905,311,6/3/13,9.6,YP,A,NA,0,0.051587302,green
22,APCL14_049,APCL14_049,,,MATCH_regenotyped,APCL_14049L0726,,,265,APCL_14049L1740,,,265,252,13,0,0,Fuzzy match,2014,2014,10.63357,124.776796,406,6/12/14,8.8,YR,L,multiple pieces,10.63357,124.776796,406,6/12/14,8.8,YR,L,multiple pieces,0.000134259,0.051587302,green
25,APCL13_584,APCL13_584,,,MATCH_regenotyped,APCL_13584L0677,,,265,APCL_13584L1736,,,263,250,13,0,0,Fuzzy match,2013,2013,10.6339953,124.7767205,320,6/3/13,8.2,O,A,NA,10.6339953,124.7767205,320,6/3/13,8.2,O,A,NA,0,0.052,green
31,APCL14_255,APCL14_255,,,MATCH_regenotyped,APCL_14255L0737,,,265,APCL_14255L1742,,,262,248,14,0,0,Fuzzy match,2014,2014,10.634084,124.776499,536,6/22/14,8.2,O,A,NA,10.634084,124.776499,536,6/22/14,8.2,O,A,NA,9.49E-05,0.056451613,green
32,APCL14_452,APCL14_452,,,MATCH_regenotyped,APCL_14452L0744,,,265,APCL_14452L1754,,,253,239,14,0,0,Fuzzy match,2014,2014,10.859822,124.722686,676,6/26/14,7.7,O,A,NA,10.859822,124.722686,676,6/26/14,7.7,O,A,NA,0,0.058577406,green
37,APCL14_425,APCL14_425,,,MATCH_regenotyped,APCL_14425L1343,,,253,APCL_14425L1729,,,265,238,15,0,0,Fuzzy match,2014,2014,10.871701,124.713919,653,6/24/14,5.2,WR,L,NA,10.871701,124.713919,653,6/24/14,5.2,WR,L,NA,0,0.06302521,green
38,APCL13_651,APCL13_651,,,MATCH_regenotyped,APCL_13651L0980,,,265,APCL_13651L1725,,,265,249,16,0,0,Fuzzy match,2013,2013,10.8607693,124.7211288,NA,6/4/13,7.7,O,A,"on sand, not even close to the reef, so couldn't tag",10.8607693,124.7211288,NA,6/4/13,7.7,O,A,"on sand, not even close to the reef, so couldn't tag",0,0.064257028,green
47,APCL13_207,APCL13_207,,,MATCH_regenotyped,APCL_13207L0444,,,265,APCL_13207L1024,,,206,192,14,0,0,Fuzzy match,2013,2013,10.873354,124.7120828,114,5/27/13,8.7,YP,A,NA,10.873354,124.7120828,114,5/27/13,8.7,YP,A,NA,0,0.072916667,green
51,APCL13_087,APCL13_087,,,MATCH_regenotyped,APCL_13087L0423,,,265,APCL_13087L1719,,,265,245,20,0,0,Fuzzy match,2013,2013,10.743469,124.7866575,50,5/24/13,9.8,O,A,NA,10.743469,124.7866575,50,5/24/13,9.8,O,A,NA,0,0.081632653,green
52,APCL13_130,APCL13_130,,,MATCH_regenotyped,APCL_13130L0432,,,265,APCL_13130L1720,,,265,245,20,0,0,Fuzzy match,2013,2013,10.798464,124.7687123,71,5/25/13,6.8,O,A,NA,10.798464,124.7687123,71,5/25/13,6.8,O,A,NA,0,0.081632653,green
53,APCL13_587,APCL13_587,,,MATCH_regenotyped,APCL_13587L0678,,,265,APCL_13587L1737,,,265,245,20,0,0,Fuzzy match,2013,2013,10.6340205,124.776657,321,6/3/13,9.1,O,A,"dark fish, took photos",10.6340205,124.776657,321,6/3/13,9.1,O,A,"dark fish, took photos",0,0.081632653,green
55,APCL14_310,APCL14_310,,,MATCH_regenotyped,APCL_14310L0597,,,262,APCL_14310L1748,,,263,242,20,0,0,Fuzzy match,2014,2014,10.635088,124.776224,571,6/22/14,4.5,Y,L,NA,10.635088,124.776224,571,6/22/14,4.5,Y,L,NA,0,0.082644628,green
59,APCL14_424,APCL14_424,,,MATCH_regenotyped,APCL_14424L1342,,,264,APCL_14424L1747,,,265,243,21,0,0,Fuzzy match,2014,2014,10.871694,124.713949,652,6/24/14,5.2,YR,L,NA,10.871694,124.713949,652,6/24/14,5.2,YR,L,NA,0,0.086419753,green
73,APCL14_006,APCL14_006,,,MATCH_regenotyped,APCL_14006L0722,,,265,APCL_14006L1738,,,265,240,25,0,0,Fuzzy match,2014,2014,10.742899,124.787067,284,6/7/14,8.8,O,A,NA,10.742899,124.787067,284,6/7/14,8.8,O,A,NA,0,0.104166667,green
76,APCL14_032,APCL14_032,,,MATCH_regenotyped,APCL_14032L0947,,,263,APCL_14032L1739,,,263,236,25,0,0,Fuzzy match,2014,2014,10.652397,124.78372,394,6/12/14,9.6,WR,L,NA,10.652397,124.78372,394,6/12/14,9.6,WR,L,NA,0,0.105932203,green
83,APCL14_423,APCL14_423,,,MATCH_regenotyped,APCL_14423L1341,,,265,APCL_14423L1746,,,263,236,27,0,0,Fuzzy match,2014,2014,10.871697,124.713987,651,6/24/14,5.5,WR,L,NA,10.871697,124.713987,651,6/24/14,5.5,WR,L,NA,0,0.11440678,green
84,APCL13_082,APCL13_082,,,MATCH_regenotyped,APCL_13082L1060,,,243,APCL_13082L1688,,,232,192,22,0,0,Fuzzy match,2013,2013,10.7693383,124.7835563,46,5/24/13,8.4,O,A,NA,10.7693383,124.7835563,46,5/24/13,8.4,O,A,NA,0,0.114583333,green
86,APCL13_057,APCL13_057,,,MATCH_regenotyped,APCL_13057L1040,,,256,APCL_13057L1718,,,265,229,27,0,0,Fuzzy match,2013,2013,10.7550025,124.7851245,35,5/23/13,3.2,YR,L,NA,10.7550025,124.7851245,35,5/23/13,3.2,YR,L,NA,0,0.11790393,green
95,APCL14_557,APCL14_557,,,MATCH_regenotyped,APCL_14557L1350,,,178,APCL_14557L1717,,,265,154,24,0,0,Fuzzy match,2014,2014,10.874283,124.710648,733,7/2/14,7.2,O,A,NA,10.874283,124.710648,733,7/2/14,7.2,O,A,NA,9.49E-05,0.155844156,green
