First ID,1_Sample_ID,1_Lat,1_Long,1_Anem,Loci typed,Second ID,2_Sample_ID,2_Lat,2_Long,MATCH,2_Anem,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL_13429L0452,APCL13_429,#N/A,#N/A,#N/A,163,APCL_13432L0843,APCL13_432,#N/A,#N/A,Wrong Species,#N/A,143,85,16,0.00E+00,0.00E+00,Fuzzy match
APCL_13432L0843,APCL13_432,#N/A,#N/A,#N/A,143,APCL_14303L1638,APCL14_303,10.634929,124.776218,Wrong Species,566,189,97,19,0.00E+00,0.00E+00,Fuzzy match
APCL_13430L1637,APCL13_430,#N/A,#N/A,#N/A,204,APCL_13432L0843,APCL13_432,#N/A,#N/A,Wrong Species,#N/A,143,103,19,0.00E+00,0.00E+00,Fuzzy match
APCL_13429L0452,APCL13_429,#N/A,#N/A,#N/A,163,APCL_14303L1638,APCL14_303,10.634929,124.776218,Wrong Species,566,189,143,13,0.00E+00,0.00E+00,Fuzzy match
APCL_13429L0452,APCL13_429,#N/A,#N/A,#N/A,163,APCL_13430L1637,APCL13_430,#N/A,#N/A,Wrong Species,#N/A,204,156,7,0.00E+00,0.00E+00,Fuzzy match
APCL_13363L0645,APCL13_363,10.85623025,124.725933,213,221,APCL_13367L0381,APCL13_367,10.8562355,124.7258905,adjacent anemones,214,220,165,17,0.00E+00,0.00E+00,Fuzzy match
APCL_13430L1637,APCL13_430,#N/A,#N/A,#N/A,204,APCL_14303L1638,APCL14_303,10.634929,124.776218,Wrong Species,566,189,176,12,0.00E+00,0.00E+00,Fuzzy match
APCL_13005L0455,APCL13_005,10.74496425,124.7857575,4,197,APCL_13461L1676,APCL13_461,10.8737835,124.710859,FALSE,NA,265,177,20,0.00E+00,0.00E+00,Fuzzy match
APCL_13054L1037,APCL13_054,10.7551455,124.785205,33,211,APCL_13055L1602,APCL13_055,10.7551455,124.785205,same anemone,33,265,191,20,0.00E+00,0.00E+00,Fuzzy match
APCL_13207L0444,APCL13_207,10.873354,124.7120828,114,265,APCL_13207L1024,APCL13_207,10.873354,124.7120828,L0444 is a questionable ligation,114,206,192,14,0.00E+00,0.00E+00,Fuzzy match
APCL_13266L0299,APCL13_266,10.8688405,124.716458,148,241,APCL_14433L1283,APCL14_433,10.871811,124.713813,FALSE,660,265,222,19,0.00E+00,0.00E+00,Fuzzy match
APCL_13333L1721,APCL13_333,10.8553445,124.7268745,195,265,APCL_13334L0358,APCL13_334,10.85539725,124.726892,FALSE,196,233,222,11,0.00E+00,0.00E+00,Fuzzy match
APCL_13333L0357,APCL13_333,10.8553445,124.7268745,195,265,APCL_13334L0358,APCL13_334,10.85539725,124.726892,FALSE,196,233,227,6,0.00E+00,0.00E+00,Fuzzy match
APCL_13048L0881,APCL13_048,10.75628575,124.7857988,29,250,APCL_13050L1597,APCL13_050,10.756221,124.785645,FALSE,31,262,229,18,0.00E+00,0.00E+00,Fuzzy match
APCL_14401L1005,APCL14_401,10.871536,124.714258,615,265,APCL_14425L1343,APCL14_425,10.871701,124.713919,FALSE,653,253,235,18,0.00E+00,0.00E+00,Fuzzy match
APCL_13150L1101,APCL13_150,10.640803,124.785089,85,265,APCL_14126L1321,APCL14_126,NA,NA,FALSE,450,250,238,12,0.00E+00,0.00E+00,Fuzzy match
APCL_14425L1343,APCL14_425,10.871701,124.713919,653,253,APCL_14425L1729,APCL14_425,10.871701,124.713919,MATCH,653,265,238,15,0.00E+00,0.00E+00,Fuzzy match
APCL_14442L1732,APCL14_442,10.871634,124.714112,667,265,APCL_14498L0969,APCL14_498,10.809171,124.76537,FALSE,698,250,238,12,0.00E+00,0.00E+00,Fuzzy match
APCL_14452L0744,APCL14_452,10.859822,124.722686,676,265,APCL_14452L1754,APCL14_452,10.859822,124.722686,MATCH,676,253,239,14,0.00E+00,0.00E+00,Fuzzy match
APCL_14126L1321,APCL14_126,NA,NA,450,250,APCL_14126L1701,APCL14_126,NA,NA,MATCH,450,265,242,8,0.00E+00,0.00E+00,Fuzzy match
APCL_14310L0597,APCL14_310,10.635088,124.776224,571,262,APCL_14310L1748,APCL14_310,10.635088,124.776224,MATCH,571,263,242,20,0.00E+00,0.00E+00,Fuzzy match
APCL_13087L0423,APCL13_087,10.743469,124.7866575,50,265,APCL_13087L1719,APCL13_087,10.743469,124.7866575,MATCH,50,265,245,20,0.00E+00,0.00E+00,Fuzzy match
APCL_13130L0432,APCL13_130,10.798464,124.7687123,71,265,APCL_13130L1720,APCL13_130,10.798464,124.7687123,MATCH,71,265,245,20,0.00E+00,0.00E+00,Fuzzy match
APCL_13584L1736,APCL13_584,10.63399525,124.7767205,320,263,APCL_14155L1741,APCL14_155,10.873714,124.711159,FALSE,477,265,245,18,0.00E+00,0.00E+00,Fuzzy match
APCL_13587L0678,APCL13_587,10.6340205,124.776657,321,265,APCL_13587L1737,APCL13_587,10.6340205,124.776657,MATCH,321,265,245,20,0.00E+00,0.00E+00,Fuzzy match
APCL_13615L0884,APCL13_615,10.87079825,124.714551,339,265,APCL_14XXXL1282,APCL14_XXX,#N/A,#N/A,#N/A,#N/A,265,245,20,0.00E+00,0.00E+00,Fuzzy match
APCL_13147L0434,APCL13_147,10.6524255,124.783547,82,265,APCL_14032L0947,APCL14_032,10.652397,124.78372,FALSE,394,263,247,16,0.00E+00,0.00E+00,Fuzzy match
APCL_13587L0678,APCL13_587,10.6340205,124.776657,321,265,APCL_14255L1742,APCL14_255,10.634084,124.776499,FALSE,536,262,247,15,0.00E+00,0.00E+00,Fuzzy match
APCL_13587L1737,APCL13_587,10.6340205,124.776657,321,265,APCL_14255L1742,APCL14_255,10.634084,124.776499,FALSE,536,262,247,15,0.00E+00,0.00E+00,Fuzzy match
APCL_13587L1737,APCL13_587,10.6340205,124.776657,321,265,APCL_14509L1705,APCL14_509,10.79974,124.76825,FALSE,NA,265,247,18,0.00E+00,0.00E+00,Fuzzy match
APCL_13601L0683,APCL13_601,10.6341135,124.776679,326,265,APCL_14270L1013,APCL14_270,10.634489,124.776737,FALSE,545,265,247,18,0.00E+00,0.00E+00,Fuzzy match
APCL_13447L0846,APCL13_447,10.87384975,124.7105893,256,265,APCL_14447L1238,APCL14_447,10.871447,124.713943,FALSE,671,265,248,17,0.00E+00,0.00E+00,Fuzzy match
APCL_14255L0737,APCL14_255,10.634084,124.776499,536,265,APCL_14255L1742,APCL14_255,10.634084,124.776499,MATCH,536,262,248,14,0.00E+00,0.00E+00,Fuzzy match
APCL_14399L0798,APCL14_399,10.871527,124.714255,614,265,APCL_14423L1746,APCL14_423,10.871697,124.713987,FALSE,651,263,248,15,0.00E+00,0.00E+00,Fuzzy match
APCL_13351L0370,APCL13_351,10.85841325,124.7244405,205,265,APCL_14445L0742,APCL14_445,10.871446,124.71402,FALSE,669,265,249,16,0.00E+00,0.00E+00,Fuzzy match
APCL_13362L0377,APCL13_362,10.860759,124.7220953,212,265,APCL_14553L0974,APCL14_553,10.874333,124.710864,FALSE,730,263,249,14,0.00E+00,0.00E+00,Fuzzy match
APCL_13584L0677,APCL13_584,10.63399525,124.7767205,320,265,APCL_14155L0730,APCL14_155,10.873714,124.711159,FALSE,477,265,249,16,0.00E+00,0.00E+00,Fuzzy match
