,First.ID,Loci.typed,Second.ID,Loci.typed.1,Matching.loci,Mismatching.loci,pID,pIDsib,Status,First.year,Second.year,First.SampleID_dd,Second.SampleID_dd,First.SampleID,Second.SampleID
1,APCL_12022L1733,265,APCL_13018L0465,263,242,21,0,0,Fuzzy match,2012,2013,APCL_12022,APCL_13018,APCL12_022,APCL13_018
2,APCL_13005L0455,197,APCL_13461L1676,265,177,20,0,0,Fuzzy match,2013,2013,APCL_13005,APCL_13461,APCL13_005,APCL13_461
3,APCL_13027L0485,263,APCL_14017L0893,265,242,21,0,0,Fuzzy match,2013,2014,APCL_13027,APCL_14017,APCL13_027,APCL14_017
4,APCL_13048L0881,250,APCL_13050L1597,262,229,18,0,0,Fuzzy match,2013,2013,APCL_13048,APCL_13050,APCL13_048,APCL13_050
5,APCL_13048L1596,265,APCL_14303L0595,244,219,25,0,0,Fuzzy match,2013,2014,APCL_13048,APCL_14303,APCL13_048,APCL14_306
6,APCL_13050L1033,233,APCL_13051L1598,265,209,24,0,0,Fuzzy match,2013,2013,APCL_13050,APCL_13051,APCL13_050,APCL13_051
7,APCL_13054L1037,211,APCL_13055L1602,265,191,20,0,0,Fuzzy match,2013,2013,APCL_13054,APCL_13055,APCL13_054,APCL13_055
8,APCL_13055L1038,240,APCL_13056L1603,265,217,23,0,0,Fuzzy match,2013,2013,APCL_13055,APCL_13056,APCL13_055,APCL13_056
9,APCL_13057L1040,256,APCL_13057L1718,265,229,27,0,0,Fuzzy match,2013,2013,APCL_13057,APCL_13057,APCL13_057,APCL13_057
10,APCL_13058L1041,155,APCL_13059L1606,260,124,26,0,0,Fuzzy match,2013,2013,APCL_13058,APCL_13059,APCL13_058,APCL13_059
11,APCL_13071L1052,235,APCL_13075L1646,265,211,24,0,0,Fuzzy match,2013,2013,APCL_13071,APCL_13075,APCL13_071,APCL13_075
12,APCL_13072L1053,226,APCL_13080L1613,265,200,26,0,0,Fuzzy match,2013,2013,APCL_13072,APCL_13080,APCL13_072,APCL13_080
13,APCL_13072L1053,226,APCL_13098L1069,117,82,27,0,0,Fuzzy match,2013,2013,APCL_13072,APCL_13098,APCL13_072,APCL13_098
