Match,,Second.SampleID,First.SampleID,X,First.ID,Loci.typed,Second.ID,Loci.typed.1,Matching.loci,Mismatching.loci,pID,pIDsib,Status,First.year,Second.year,First.SampleID_dd,Second.SampleID_dd,First.Lat,First.Lon,First.Type.o,First.Anem_ID,First.Date,First.Size,First.Size_type,First.Tail_color,First.Age,First.Sex,First.Collector,First.Notes,First.mass_g,Second.Lat,Second.Lon,Second.Type.o,Second.Anem_ID,Second.Date,Second.Size,Second.Size_type,Second.Tail_color,Second.Age,Second.Sex,Second.Collector,Second.Notes,Second.mass_g,distkm
same year small dist,35,APCL13_626,APCL13_313,41,APCL_13313L0344,265,APCL_13626L0691,265,244,21,0,0,Fuzzy match,2013,2013,APCL_13313,APCL_13626,10.8714993,124.714174,NA,181,5/28/13,4.9,FL,YP,A,NA,MLP,NA,NA,10.871468,124.714191,NA,180,6/4/13,4.9,FL,YR,L,NA,MLP,NA,NA,0.003944102
same year small dist,30,APCL13_367,APCL13_363,47,APCL_13363L0645,221,APCL_13367L0381,220,165,17,0,0,Fuzzy match,2013,2013,APCL_13363,APCL_13367,10.8562303,124.725933,NA,213,5/29/13,6.9,FL,YP,A,NA,MLP,NA,NA,10.8562355,124.7258905,NA,214,5/29/13,6.8,FL,YP,A,NA,MLP,#367 sort of looks sampled already,NA,0.004676949
same year small dist,28,APCL13_334,APCL13_333,44,APCL_13333L1721,265,APCL_13334L0358,233,222,11,0,0,Fuzzy match,2013,2013,APCL_13333,APCL_13334,10.8553445,124.7268745,NA,195,5/29/13,6.9,FL,YP,A,NA,MLP,NA,NA,10.8553973,124.726892,NA,196,5/29/13,8.9,FL,O,A,NA,MLP,NA,NA,0.006174445
same year small dist,27,APCL13_334,APCL13_333,43,APCL_13333L0357,265,APCL_13334L0358,233,227,6,0,0,Fuzzy match,2013,2013,APCL_13333,APCL_13334,10.8553445,124.7268745,NA,195,5/29/13,6.9,FL,YP,A,NA,MLP,NA,NA,10.8553973,124.726892,NA,196,5/29/13,8.9,FL,O,A,NA,MLP,NA,NA,0.006174445
same year same anem,7,APCL13_059,APCL13_058,10,APCL_13058L1041,155,APCL_13059L1606,260,124,26,0,0,Fuzzy match,2013,2013,APCL_13058,APCL_13059,10.7550025,124.7851245,NA,35,5/23/13,6.7,FL,YR,L,NA,MLP,NA,NA,10.7550025,124.7851245,NA,35,5/23/13,8,FL,YP,A,NA,MLP,NA,NA,0
same year small dist,5,APCL13_056,APCL13_055,8,APCL_13055L1038,240,APCL_13056L1603,265,217,23,0,0,Fuzzy match,2013,2013,APCL_13055,APCL_13056,10.7551455,124.785205,NA,33,5/23/13,6.5,FL,YP,A,NA,MLP,NA,NA,10.755087,124.7851225,NA,34,5/23/13,3,FL,YR,L,NA,MLP,NA,NA,0.01111473
MATCH_re-genotyped,101,APCL14_559,APCL14_559,101,APCL_14557L1350,178,APCL_14557L1717,265,154,24,0,0,Fuzzy match,2014,2014,APCL_14557,APCL_14557,10.874451,124.710608,NA,132,7/2/14,7.2,FL,Y,L,NA,MRS,NA,NA,10.874451,124.710608,NA,132,7/2/14,7.2,FL,Y,L,NA,MRS,NA,NA,0
same year small dist,10,APCL13_080,APCL13_072,12,APCL_13072L1053,226,APCL_13080L1613,265,200,26,0,0,Fuzzy match,2013,2013,APCL_13072,APCL_13080,10.7688715,124.783722,NA,42,5/24/13,7.8,FL,YP,A,NA,MLP,7.8cm fish had slightly orange tail edges: transitional?,NA,10.7689558,124.7836465,NA,45,5/24/13,9.5,FL,O,A,NA,MLP,NA,NA,0.012484984
"diff year, diff anem",47,APCL14_046,APCL13_186,33,APCL_13186L1164,183,APCL_14046L0749,265,161,22,0,0,Fuzzy match,2013,2014,APCL_13186,APCL_14046,10.6334658,124.777046,NA,104,5/26/13,2.6,FL,W,L,NA,MLP,Unclear if I actually labeled this one... didn't mark it on the data sheet,NA,10.633605,124.776801,NA,404,6/12/14,5.6,FL,YR,L,NA,MRS,NA,NA,0.030927058
same year small dist,24,APCL13_210,APCL13_208,39,APCL_13208L1175,165,APCL_13210L1627,265,140,25,0,0,Fuzzy match,2013,2013,APCL_13208,APCL_13210,10.873354,124.7120828,NA,114,5/27/13,8.8,FL,O,A,NA,MLP,NA,NA,10.8732105,124.7120845,NA,115,5/27/13,8.8,FL,YP,A,NA,MLP,209 may have been sampled already,NA,0.015957604
same year small dist,22,APCL13_209,APCL13_207,38,APCL_13207L0444,265,APCL_13209L1626,265,241,24,0,0,Fuzzy match,2013,2013,APCL_13207,APCL_13209,10.873354,124.7120828,NA,114,5/27/13,8.7,FL,YP,A,NA,MLP,NA,NA,10.8732105,124.7120845,NA,115,5/27/13,8.3,FL,O,A,NA,MLP,209 may have been sampled already,NA,0.015957604
"diff year, small dist",48,APCL14_049,APCL13_565,56,APCL_13565L1735,265,APCL_14049L0726,265,251,14,0,0,Fuzzy match,2013,2014,APCL_13565,APCL_14049,10.633602,124.7767905,NA,311,6/3/13,9.6,FL,YP,A,NA,MLP,NA,NA,10.63357,124.776796,NA,406,6/12/14,8.8,FL,YR,L,NA,MRS,multiple pieces,NA,0.003610039
same year same anem,4,APCL13_055,APCL13_054,7,APCL_13054L1037,211,APCL_13055L1602,265,191,20,0,0,Fuzzy match,2013,2013,APCL_13054,APCL_13055,10.7551455,124.785205,NA,33,5/23/13,3.2,FL,YR,L,NA,MLP,NA,NA,10.7551455,124.785205,NA,33,5/23/13,6.5,FL,YP,A,NA,MLP,NA,NA,9.49E-05
same year same anem,9,APCL13_078,APCL13_077,14,APCL_13077L1056,222,APCL_13078L1649,261,191,27,0,0,Fuzzy match,2013,2013,APCL_13077,APCL_13078,10.769013,124.783695,NA,44,5/24/13,4.8,FL,YR,L,NA,MLP,NA,NA,10.769013,124.783695,NA,44,5/24/13,2.7,FL,YR,L,NA,MLP,NA,NA,0
MATCH_re-genotyped,11,APCL13_082,APCL13_082,17,APCL_13082L1060,243,APCL_13082L1688,232,192,22,0,0,Fuzzy match,2013,2013,APCL_13082,APCL_13082,10.7693383,124.7835563,NA,46,5/24/13,8.4,FL,O,A,NA,MLP,NA,NA,10.7693383,124.7835563,NA,46,5/24/13,8.4,FL,O,A,NA,MLP,NA,NA,0
